Theta [deg],dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='0deg',dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='90.0000000000002deg'
63.2,-15.01,-49.74
63.3,-15.01,-49.74
63.4,-15.42,-49.74
63.5,-15.42,-49.74
63.6,-15.42,-49.74
63.7,-15.42,-49.74
63.8,-15.42,-49.74
63.9,-15.42,-49.74
64,-15.42,-49.74
64.1,-15.42,-49.74
64.2,-15.42,-49.74
64.3,-15.42,-49.74
64.4,-15.42,-49.74
64.5,-15.42,-49.74
64.6,-15.42,-49.74
64.7,-15.71,-49.74
64.8,-15.71,-49.74
64.9,-15.71,-49.74
65,-15.71,-49.74
65.1,-15.71,-50.51
65.2,-15.71,-50.51
65.3,-15.71,-50.51
65.4,-15.71,-50.51
65.5,-15.71,-50.51
65.6,-15.71,-50.51
65.7,-15.71,-50.51
65.8,-15.71,-50.51
65.9,-15.92,-49.49
66,-15.92,-49.49
66.1,-15.92,-49.49
66.2,-15.92,-49.49
66.3,-15.92,-49.49
66.4,-15.92,-49.49
66.5,-15.92,-49.49
66.6,-15.92,-49.49
66.7,-15.92,-49.49
66.8,-15.92,-49.06
66.9,-15.92,-49.06
67,-15.92,-49.06
67.1,-16.35,-49.06
67.2,-16.35,-49.06
67.3,-16.35,-49.06
67.4,-16.35,-49.18
67.5,-16.35,-49.18
67.6,-16.35,-49.18
67.7,-16.35,-49.18
67.8,-16.35,-49.18
67.9,-16.35,-49.18
68,-16.35,-49.18
68.1,-16.74,-49.33
68.2,-16.74,-49.33
68.3,-16.74,-49.33
68.4,-16.74,-49.33
68.5,-16.74,-49.33
68.6,-16.74,-49.33
68.7,-16.74,-49.33
68.8,-16.74,-49.33
68.9,-16.74,-49.33
69,-16.74,-49.33
69.1,-16.74,-49.33
69.2,-16.97,-48.6
69.3,-16.97,-48.6
69.4,-16.97,-48.6
69.5,-16.97,-48.6
69.6,-16.97,-48.6
69.7,-16.97,-48.6
69.8,-16.97,-48.6
69.9,-16.97,-48.6
70,-16.97,-48.6
70.1,-16.97,-48.6
70.2,-16.97,-48.6
70.3,-16.97,-48.6
70.4,-16.97,-48.6
70.5,-16.97,-48.6
70.6,-17.29,-48.6
70.7,-17.29,-48.6
70.8,-17.29,-48.6
70.9,-17.29,-48.6
71,-17.29,-48.6
71.1,-17.29,-48.18
71.2,-17.29,-48.18
71.3,-17.29,-48.18
71.4,-17.29,-48.18
71.5,-17.29,-48.18
71.6,-17.29,-48.18
71.7,-17.29,-48.18
71.8,-17.57,-48.18
71.9,-17.57,-48.18
72,-17.57,-48.96
72.1,-17.57,-48.96
72.2,-17.57,-48.96
72.3,-17.57,-48.96
72.4,-17.57,-48.96
72.5,-17.57,-48.96
72.6,-17.57,-48.96
72.7,-17.57,-48.96
72.8,-17.57,-48.96
72.9,-17.57,-48.04
73,-17.57,-48.04
73.1,-17.57,-48.04
73.2,-17.57,-48.04
73.3,-17.57,-48.04
73.4,-17.57,-48.04
73.5,-17.57,-48.04
73.6,-17.57,-48.04
73.7,-17.57,-48.04
73.8,-17.57,-47.76
73.9,-17.57,-47.76
74,-17.57,-47.76
74.1,-18.11,-47.76
74.2,-18.11,-47.76
74.3,-18.11,-47.76
74.4,-18.11,-47.76
74.5,-18.11,-47.51
74.6,-18.11,-47.51
74.7,-18.11,-47.51
74.8,-18.11,-47.51
74.9,-18.11,-47.51
75,-18.11,-47.51
75.1,-18.65,-47.51
75.2,-18.65,-47.51
75.3,-18.65,-47.7
75.4,-18.65,-47.7
75.5,-18.65,-47.7
75.6,-18.65,-47.7
75.7,-18.65,-47.7
75.8,-18.65,-47.7
75.9,-18.65,-47.7
76,-18.65,-46.71
76.1,-18.65,-46.71
76.2,-18.93,-46.71
76.3,-18.93,-46.71
76.4,-18.93,-46.71
76.5,-18.93,-46.71
76.6,-18.93,-46.71
76.7,-18.93,-46.71
76.8,-18.93,-46.71
76.9,-18.93,-46.71
77,-18.93,-46.71
77.1,-18.93,-46.71
77.2,-19.27,-47.21
77.3,-19.27,-47.21
77.4,-19.27,-47.21
77.5,-19.27,-47.21
77.6,-19.27,-47.21
77.7,-19.27,-47.21
77.8,-19.27,-47.21
77.9,-19.27,-47.21
78,-19.27,-47.21
78.1,-19.27,-47.21
78.2,-19.27,-47.21
78.3,-19.27,-47.21
78.4,-19.27,-47.21
78.5,-19.27,-47.21
78.6,-19.27,-47.21
78.7,-19.27,-47.21
78.8,-19.27,-47.21
78.9,-19.27,-46.85
79,-19.27,-46.85
79.1,-19.27,-46.85
79.2,-19.27,-46.85
79.3,-19.27,-46.85
79.4,-19.27,-46.85
79.5,-19.27,-46.85
79.6,-19.27,-47.54
79.7,-19.84,-47.54
79.8,-19.84,-47.54
79.9,-19.84,-47.54
80,-19.84,-47.54
80.1,-19.84,-47.54
80.2,-19.84,-47.54
80.3,-20.18,-47.54
80.4,-20.18,-47.54
80.5,-20.18,-46.82
80.6,-20.18,-46.82
80.7,-20.18,-46.82
80.8,-20.18,-46.82
80.9,-20.18,-46.82
81,-20.18,-46.82
81.1,-20.18,-46.82
81.2,-20.18,-46.82
81.3,-20.18,-46.82
81.4,-20.18,-47.18
81.5,-20.18,-47.18
81.6,-20.18,-47.18
81.7,-20.18,-47.18
81.8,-20.46,-47.18
81.9,-20.46,-47.18
82,-20.46,-47.18
82.1,-20.46,-47.18
82.2,-20.46,-47.18
82.3,-20.46,-47.1
82.4,-20.46,-47.1
82.5,-20.46,-47.1
82.6,-20.46,-47.1
82.7,-20.46,-47.1
82.8,-20.46,-47.1
82.9,-20.46,-47.1
83,-20.76,-47.1
83.1,-20.76,-47.1
83.2,-20.76,-47.1
83.3,-20.76,-46.52
83.4,-20.76,-46.52
83.5,-20.76,-46.52
83.6,-20.76,-46.52
83.7,-20.76,-46.52
83.8,-20.76,-46.52
83.9,-20.76,-46.52
84,-20.76,-46.96
84.1,-20.76,-46.96
84.2,-21.04,-46.96
84.3,-21.04,-46.96
84.4,-21.04,-46.96
84.5,-21.04,-46.96
84.6,-21.04,-46.96
84.7,-21.04,-46.96
84.8,-21.04,-46.96
84.9,-21.04,-47.37
85,-21.04,-47.37
85.1,-21.04,-47.37
85.2,-21.57,-47.37
85.3,-21.57,-47.37
85.4,-21.57,-47.37
85.5,-21.57,-47.37
85.6,-21.57,-46.4
85.7,-21.57,-46.4
85.8,-21.57,-46.4
85.9,-21.57,-46.4
86,-21.57,-46.4
86.1,-21.57,-46.4
86.2,-21.57,-46.4
86.3,-21.57,-46.4
86.4,-21.57,-46.4
86.5,-21.57,-46.4
86.6,-21.57,-46.94
86.7,-21.57,-46.94
86.8,-21.57,-46.94
86.9,-21.57,-46.94
87,-21.57,-46.94
87.1,-21.57,-46.94
87.2,-21.57,-46.94
87.3,-21.57,-46.94
87.4,-21.57,-46.65
87.5,-22.04,-46.65
87.6,-22.04,-46.65
87.7,-22.04,-46.65
87.8,-22.04,-46.65
87.9,-22.04,-46.65
88,-22.04,-46.65
88.1,-22.04,-46.65
88.2,-22.04,-46.65
88.3,-22.57,-46.65
88.4,-22.57,-47.1
88.5,-22.57,-47.1
88.6,-22.57,-47.1
88.7,-22.57,-47.1
88.8,-22.57,-47.1
88.9,-22.57,-47.1
89,-22.57,-47.1
89.1,-22.57,-47.1
89.2,-22.57,-47.12
89.3,-22.79,-47.12
89.4,-22.79,-47.12
89.5,-22.79,-47.12
89.6,-22.79,-47.12
89.7,-22.79,-47.12
89.8,-22.79,-47.12
89.9,-22.79,-47.12
90,-22.79,-47.12
90.1,-22.79,-47.12
90.2,-22.79,-47.33
