"Freq [GHz]","dB(S(1,1)) [] - L1='9mm' RatioElips='1.5' Zref='30mm'"
1.017,-16.4447722830507
1.018,-16.4049190468925
1.019,-16.366766708268
1.02,-16.330301070487
1.021,-16.2955084609353
1.022,-16.2623757322886
1.023,-16.2308902633342
1.024,-16.2010399594752
1.025,-16.1728132529869
1.026,-16.1461991030842
1.027,-16.1211869958545
1.028,-16.0977669441048
1.029,-16.0759294871652
1.03,-16.0556656906873
1.031,-16.036967146472
1.032,-16.0198259723559
1.033,-16.0042348121851
1.034,-15.9901868358985
1.035,-15.9776757397436
1.036,-15.9666957466418
1.037,-15.9572416067215
1.038,-15.9493085980313
1.039,-15.9428925274485
1.04,-15.9379897317906
1.041,-15.9345970791416
1.042,-15.9327119703982
1.043,-15.932332341043
1.044,-15.9334566631487
1.045,-15.9360839476156
1.046,-15.9402137466443
1.047,-15.945846156442
1.048,-15.952981820161
1.049,-15.9616219310659
1.05,-15.9717682359218
1.051,-15.9834230385975
1.052,-15.9965892038723
1.053,-16.0112701614336
1.054,-16.0274699100507
1.055,-16.0451930219047
1.056,-16.0644446470538
1.057,-16.0852305180075
1.058,-16.107556954379
1.059,-16.131430867582
1.06,-16.1568597655295
1.061,-16.1838517572898
1.062,-16.2124155576443
1.063,-16.242560491487
1.064,-16.2742964979937
1.065,-16.3076341344829
1.066,-16.3425845798731
1.067,-16.3791596376358
1.068,-16.4173717381226
1.069,-16.4572339401318
1.07,-16.4987599315609
1.071,-16.5419640289698
1.072,-16.5868611758568
1.073,-16.6334669394217
1.074,-16.6817975055597
1.075,-16.7318696717985
1.076,-16.783700837847
1.077,-16.8373089933851
1.078,-16.8927127026705
1.079,-16.9499310854857
1.08,-17.0089837938791
1.081,-17.0698909840896
1.082,-17.1326732829537
1.083,-17.1973517480086
1.084,-17.2639478203962
1.085,-17.3324832695538
1.086,-17.4029801285469
1.087,-17.4754606187434
1.088,-17.5499470623586
1.089,-17.6264617812091
1.09,-17.70502697979
1.091,-17.7856646105484
1.092,-17.868396218946
1.093,-17.9532427655911
1.094,-18.0402244223731
1.095,-18.1293603391366
1.096,-18.220668376998
1.097,-18.3141648039174
1.098,-18.4098639475977
1.099,-18.5077778001881
1.1,-18.6079155686094
1.101,-18.7102831636066
1.102,-18.814882619859
1.103,-18.9217114386504
1.104,-19.0307618437276
1.105,-19.1420199400706
1.106,-19.2554647643786
1.107,-19.3710672151804
1.108,-19.4887888496405
1.109,-19.6085805334296
1.11,-19.7303809295189
1.111,-19.8541148115786
1.112,-19.9796911879275
1.113,-20.1070012228951
1.114,-20.2359159442381
1.115,-20.3662837281863
1.116,-20.4979275581332
1.117,-20.6306420593296
1.118,-20.7641903206821
1.119,-20.8983005264085
1.12,-21.0326624354535
1.121,-21.1669237657514
1.122,-21.3006865641478
1.123,-21.4335036713672
1.124,-21.5648754248535
1.125,-21.6942467801372
1.126,-21.8210050724016
1.127,-21.9444786819636
1.128,-22.0639369070427
1.129,-22.17859137961
1.13,-22.2875993789004
1.131,-22.3900693945468
1.132,-22.4850692586335
1.133,-22.5716370947089
1.134,-22.6487952151179
1.135,-22.7155669326847
1.136,-22.7709960416084
1.137,-22.8141684762165
1.138,-22.8442353950295
1.139,-22.860436690307
1.14,-22.8621237249534
1.141,-22.848779985555
1.142,-22.820038342868
1.143,-22.7756937466126
1.144,-22.7157104482949
1.145,-22.640223220852
1.146,-22.5495324849086
1.147,-22.4440937037916
1.148,-22.3245018164878
1.149,-22.191471791256
1.15,-22.0458165713868
1.151,-21.8884237385459
1.152,-21.7202321486304
1.153,-21.5422096262433
1.154,-21.3553325715607
1.155,-21.160568073785
1.156,-20.9588588703276
1.157,-20.7511112640565
1.158,-20.5381859267775
1.159,-20.3208913813183
1.16,-20.0999798660545
1.161,-19.8761452387739
1.162,-19.6500225633379
1.163,-19.422189033919
1.164,-19.19316591947
1.165,-18.9634212485357
1.166,-18.7333729960906
1.167,-18.5033925758246
1.168,-18.2738084805545
1.169,-18.0449099486979
1.17,-17.8169505652369
1.171,-17.5901517312034
1.172,-17.3647059566156
1.173,-17.1407799484578
1.174,-16.918517478226
1.175,-16.6980420233695
1.176,-16.4794591841488
1.177,-16.262858882545
1.178,-16.0483173532974
1.179,-15.8358989393139
1.18,-15.6256577048765
1.181,-15.4176388805321
1.182,-15.2118801534829
1.183,-15.0084128168611
1.184,-14.8072627905852
1.185,-14.6084515256594
1.186,-14.4119968028539
1.187,-14.2179134357473
1.188,-14.0262138871554
1.189,-13.836908807049
1.19,-13.650007499179
1.191,-13.4655183228087
1.192,-13.2834490351963
1.193,-13.1038070797818
1.194,-12.9265998244146
1.195,-12.7518347534188
1.196,-12.5795196168057
1.197,-12.409662539548
1.198,-12.2422720934779
1.199,-12.0773573341035
1.2,-11.9149278044153
1.201,-11.7549935076044
1.202,-11.5975648505083
1.203,-11.4426525595589
1.204,-11.2902675710041
1.205,-11.1404208972244
1.206,-10.9931234710509
1.207,-10.8483859701175
1.208,-10.7062186234252
1.209,-10.5666310024738
1.21,-10.4296317995037
1.211,-10.2952285955812
1.212,-10.163427621456
1.213,-10.0342335142967
1.214,-9.90764907357025
1.215,-9.78367501945968
1.216,-9.66230975730457
1.217,-9.54354915159029
1.218,-9.42738631300103
1.219,-9.31381140197916
1.22,-9.20281145209612
1.221,-9.09437021633801
1.222,-8.9884680391378
1.223,-8.88508175665334
